tower_id,lat,lng,operator,signal_score,frequency_mhz,tx_power_dbm,height_m,zone,radio,range_m,samples,avg_signal_dbm,mcc,mnc,lac,cellid
OCI_404_45_26292821,12.91,77.61,Airtel,60,2100,43,30,BTM Layout,UMTS,1000,1,0,404,45,34012,26292821
OCI_405_34_292710,12.91,77.6,Unknown,60,2100,43,30,BTM Layout,UMTS,1000,1,0,405,34,10004,292710
OCI_405_861_20241,12.91,77.6,Jio,70,1800,46,30,BTM Layout,LTE,1000,1,0,405,861,18,20241
OCI_404_45_26345143,12.91,77.6,Airtel,60,2100,43,30,BTM Layout,UMTS,1000,1,0,404,45,34012,26345143
OCI_405_861_20530,12.91,77.61,Jio,70,1800,46,30,BTM Layout,LTE,1000,1,0,405,861,19,20530
OCI_404_45_6562,12.91,77.61,Airtel,65,900,43,35,BTM Layout,GSM,1000,1,0,404,45,460,6562
OCI_405_34_155599,12.91,77.61,Unknown,60,2100,43,30,BTM Layout,UMTS,1000,1,0,405,34,10004,155599
OCI_405_34_155599,12.91,77.61,Unknown,60,2100,43,30,BTM Layout,UMTS,1000,1,0,405,34,10002,155599
OCI_404_45_329738,12.91,77.61,Airtel,70,1800,46,30,BTM Layout,LTE,1000,1,0,404,45,1011,329738
OCI_404_44_40093,12.91,77.61,Unknown,65,900,43,35,BTM Layout,GSM,1000,1,0,404,44,1401,40093
OCI_405_861_21274,12.91,77.61,Jio,70,1800,46,30,BTM Layout,LTE,1000,1,0,405,861,19,21274
OCI_404_45_167938,12.91,77.6,Airtel,70,1800,46,30,BTM Layout,LTE,1000,1,0,404,45,8529,167938
OCI_404_44_41061,12.91,77.61,Unknown,65,900,43,35,BTM Layout,GSM,1000,1,0,404,44,1401,41061
OCI_404_86_6722,12.91,77.6,Vi,65,900,43,35,BTM Layout,GSM,1000,1,0,404,86,31301,6722
OCI_404_45_26297839,12.91,77.61,Airtel,60,2100,43,30,BTM Layout,UMTS,1000,1,0,404,45,34012,26297839
OCI_404_71_21457576,12.91,77.6,BSNL,60,2100,43,30,BTM Layout,UMTS,1000,1,0,404,71,3327,21457576
